,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
371,Ford,Ecosport,2018,Manual,"24,544",1st,Petrol,"₹8,17,799","₹15,357/month"
372,Maruti,Alto  800,2019,Manual,"25,389",2nd,Petrol,"₹3,33,999","₹6,530/month"
373,Maruti,IGNIS,2021,Manual,"19,139",1st,Petrol,"₹6,45,799","₹12,625/month"
374,Maruti,Alto,2021,Manual,"18,493",1st,Petrol,"₹3,90,999","₹7,644/month"
375,Maruti,Alto,2020,Manual,"19,129",1st,Petrol,"₹3,79,599","₹7,421/month"
377,Honda,Amaze,2019,Automatic,"10,732",1st,Petrol,"₹8,69,999","₹16,338/month"
378,Hyundai,Verna,2017,Automatic,"93,464",1st,Diesel,"₹9,15,099","₹17,185/month"
379,Hyundai,i20  Active,2019,Manual,"21,726",1st,Petrol,"₹8,23,299","₹15,461/month"
380,Toyota,YARIS,2018,Manual,"11,345",1st,Petrol,"₹8,29,199","₹15,572/month"
381,Maruti,Alto,2021,Manual,"11,574",1st,Petrol,"₹4,20,999","₹8,231/month"
382,Maruti,Alto  K10,2019,Automatic,"59,487",2nd,Petrol,"₹4,61,999","₹9,032/month"
383,MG,HECTOR,2020,Manual,"68,965",1st,Diesel,"₹18,01,099","₹33,823/month"
384,Honda,WR-V,2019,Manual,"30,755",1st,Petrol,"₹8,53,399","₹16,026/month"
385,Hyundai,Grand  i10,2017,Automatic,"52,665",1st,Petrol,"₹6,21,499","₹12,150/month"
386,Maruti,S  PRESSO,2019,Manual,"26,656",1st,Petrol,"₹4,06,999","₹7,957/month"
387,Honda,WR-V,2021,Manual,"27,310",1st,Petrol,"₹10,19,799","₹19,151/month"
388,Jeep,Compass,2018,Manual,"58,328",1st,Diesel,"₹15,00,499","₹28,178/month"
389,Maruti,Ciaz,2018,Automatic,"74,856",2nd,Petrol,"₹8,14,399","₹15,294/month"
390,Maruti,Baleno,2017,Manual,"28,496",1st,Petrol,"₹7,12,199","₹13,924/month"
391,Jeep,Compass,2018,Automatic,"73,491",1st,Petrol,"₹14,44,099","₹27,119/month"
392,Jeep,Compass,2019,Manual,"50,070",1st,Diesel,"₹15,56,699","₹29,233/month"
393,Ford,Ecosport,2018,Manual,"65,491",1st,Petrol,"₹7,95,399","₹15,550/month"
394,Maruti,Baleno,2019,Manual,"80,139",1st,Petrol,"₹7,28,899","₹14,250/month"
395,Hyundai,Elite  i20,2018,Manual,"71,532",1st,Petrol,"₹7,39,699","₹14,461/month"
396,Hyundai,VENUE,2020,Manual,"22,431",1st,Petrol,"₹11,80,699","₹22,172/month"
397,Maruti,Alto  K10,2017,Manual,"22,526",1st,Petrol,"₹4,00,899","₹7,838/month"
398,Ford,Ecosport,2018,Manual,"75,139",1st,Diesel,"₹9,36,049","₹17,578/month"
400,Maruti,IGNIS,2017,Manual,"57,238",1st,Petrol,"₹5,42,499","₹10,606/month"
401,Maruti,Baleno,2020,Automatic,"26,356",2nd,Petrol,"₹8,64,699","₹16,238/month"
402,Maruti,S  Cross,2019,Manual,"48,876",1st,Diesel,"₹10,51,299","₹19,742/month"
403,Maruti,Baleno,2017,Manual,"46,851",1st,Petrol,"₹7,04,199","₹13,767/month"
404,Hyundai,Grand  i10,2017,Automatic,"24,034",2nd,Petrol,"₹6,32,099","₹12,358/month"
405,Hyundai,Grand  i10,2017,Automatic,"26,525",2nd,Petrol,"₹6,22,699","₹12,174/month"
406,Maruti,Baleno,2018,Manual,"45,909",1st,Petrol,"₹7,18,899","₹14,055/month"
407,Hyundai,VENUE,2020,Automatic,"23,748",1st,Petrol,"₹12,37,499","₹23,239/month"
408,Nissan,Micra  Active,2017,Manual,"82,629",2nd,Petrol,"₹4,18,499","₹8,182/month"
409,Toyota,YARIS,2018,Manual,"37,668",2nd,Petrol,"₹8,19,199","₹15,384/month"
410,Maruti,Alto,2019,Manual,"29,251",2nd,Petrol,"₹3,57,299","₹6,985/month"
